Risk,AI,Elevation,ET,GDP,GSH,GSS,Population,Precipitation,Slope,Soil_OC,Temperature,TWI,Urban,WTD,Longitude,Latitude,airport,Finishing_textiles,Firefighting_training,Landfill,Manufacture_articles,Manufacture_fabricated_metal,Manufacture_organic_basic,Manufacture_petroleum,Manufacture_plastics,Manufacture_pulp_paper,Manufacture_rubber,Military,PFAS_production,Sewerage,Tanning_dressing,WWTP
0,9220,31,736,241644.2813,3,4,11,55,0.415059447,418.878479,13.80000019,-4,0,-5.325398642,10.0375,57.3375,21743,586248,139287,12837,108011,150829,215840,115387,134022,128930,197264,28981,702412,10060,185081,10059
0,8644,15,739,18402416,3,4,259,52,0.870033026,62.29044342,13.89999962,-4,0,-0.915541314,10.5125,57.3375,25061,591519,158482,13541,105676,174529,210570,89357,113183,100566,179203,47841,717728,4561,156787,4521
0,8758,15.5,736,539895.4375,3,5,30,53,1.032510042,96.21114349,13.80000019,-3,0,-0.335698482,10.4625,57.32916667,23888,589986,156987,14400,104627,172459,211877,92449,115903,103448,180226,44842,715297,5121,159884,5069
0,9289,17.5,720,168289.0781,3,5,19,55,0.701968193,92.38382721,13.69999981,0,0,-8.865491722,9.8625,57.32083333,25373,582858,134541,17808,109011,143680,220415,125866,143448,139271,203249,24951,695423,12901,195730,6005
0,9083,28,740,3135768.75,4,5,18,55,0.58533752,111.519455,13.80000019,-1,0,-11.44426642,9.970833333,57.32083333,25541,583799,138323,15115,107157,148760,218643,119788,138304,132780,198669,25915,698754,11112,189275,6245
0,9077,32.5,743,2505872,4,5,18,55,0.378050029,84.73213196,13.80000019,-1,0,-15.70153353,9.979166667,57.32083333,25242,583875,138622,15004,107029,149156,218514,119323,137913,132281,198321,26055,699012,11120,188779,6537
0,9300,77,735,,3,4,16,56,1.380696297,159.5576477,13.5,-1,0,-31.35729,10.1875,57.30416667,22307,584099,147852,19001,102764,160290,217428,108529,129611,119677,188475,30597,704004,18313,176621,16833
0,9310,71,733,281441.6875,3,4,16,56,1.371263146,64.8462677,13.5,-1,0,-30.06027314,10.19583333,57.30416667,22256,584187,148174,19251,102697,160697,217326,108074,129243,119177,188144,30929,704272,18669,176125,17324
0,9226,24.5,723,153259.3125,3,5,10,55,0.50546217,71.55020142,13.69999981,0,0,-17.0748455,9.8375,57.29583333,22592,579898,136011,20953,106866,144316,223508,128259,146326,140626,202393,22189,692266,16059,197575,5131
0,9416,69,724,,3,4,14,56,1.829126358,72.17811584,13.5,0,0,-14.16037232,10.17083333,57.2875,24273,582098,148639,20205,101074,160573,219447,110218,131604,120576,187758,28546,701903,19028,177879,15572
0,9455,80,725,98404.07031,3,3,14,57,2.047234297,73.69712067,13.39999962,0,0,-27.87823301,10.17916667,57.2875,24206,582186,148956,20416,101000,160976,219344,109765,131237,120076,187423,28884,702170,19345,177384,16071
0,9515,92.5,725,98404.07031,3,4,14,57,1.362733006,74.94722748,13.39999962,-1,0,-38.59006638,10.1875,57.2875,24149,582275,149275,20637,100929,161380,219242,109313,130871,119576,187089,29227,702438,19670,176889,16570
0,9362,72.5,729,692003.9375,3,4,9,56,0.717098236,77.83614349,13.5,2,0,-30.41123064,10.17916667,57.27916667,25126,581274,149673,21256,100084,161527,220251,110165,131870,120037,186735,28212,701387,20065,177525,16014
0,9383,73,727,692003.9375,3,4,9,56,0.743742466,69.66532135,13.5,2,0,-31.89135576,10.1875,57.27916667,25071,581363,149990,21468,100012,161929,220150,109715,131506,119536,186399,28562,701655,20278,177030,16515
0,9302,69,729,,3,4,9,56,1.058268547,88.06217957,13.5,2,0,-29.22102693,10.19583333,57.27916667,25026,581451,150308,21690,99942,162332,220049,109264,131143,119036,186065,28917,701923,19780,176536,17015
0,8867,14,738,18593074,4,5,160,55,0.241553068,89.58382416,13.89999962,0,0,-0.473029679,9.9375,57.27083333,20503,578002,141676,21000,102352,150698,224532,123760,143366,134528,196139,20025,692959,16798,192023,1525
0,8767,17.5,747,18593074,3,4,160,55,0.307814837,105.2801056,13.89999962,0,0,-3.21965362,9.945833333,57.27083333,20639,578077,141961,20872,102209,151082,224402,123301,142982,134027,195781,20156,693218,16744,191528,2014
0,9043,36,728,,3,4,14,54,0.489961535,81.32485962,13.60000038,-1,0,-12.69550622,10.2375,57.27083333,25876,580992,152622,23717,98711,164899,220472,107437,129988,116499,183707,30153,702488,17422,174210,17391
0,8793,18.5,743,24901658,3,4,160,55,0.570188761,101.235405,13.89999962,0,0,-6.469825284,9.9625,57.2625,20071,577311,143294,21561,101038,152445,225040,122758,142813,133005,194417,19578,692945,17607,190681,3253
0,8835,16,739,2951932,4,5,34,56,0.293493927,64.47121429,13.89999962,0,0,-0.991836423,9.970833333,57.25416667,19387,576472,144341,22386,100009,153425,225810,122684,143036,132491,193410,18889,692415,18525,190334,4134
0,8943,34,733,138051.6094,4,5,18,55,0.383842468,126.2472305,13.69999981,-3,0,-15.51842527,10.0375,57.25416667,21234,577100,146668,22101,98985,156513,224834,119049,140025,128481,190568,20722,694513,18939,186378,7816
0,9931,15,691,3344912.25,2,3,15,55,0.325857878,45.31338501,13.89999962,-1,0,-10.33035782,9.620833333,57.24583333,21893,572764,134205,33660,106935,138606,232819,142416,160077,141737,208407,21766,680928,28673,211269,6168
0,9335,11,717,14742460,3,5,45,54,0.166378081,90.26000214,13.89999962,-1,0,-5.889982452,9.670833333,57.22083333,17849,570349,138067,29565,103095,142697,234482,140694,159356,145506,204316,17706,680012,28650,208751,2156
0,8937,45.5,740,161416.9063,3,4,16,56,1.15675056,63.09036636,13.60000038,-2,0,-15.59472038,10.20416667,57.22083333,25709,575160,155676,21742,93449,166660,226312,111823,135344,118456,180943,25227,696726,20977,177167,18499
0,8849,29,735,57538.89844,3,4,16,55,0.803146362,303.6483765,13.69999981,-1,0,-7.568474861,10.14583333,57.2125,22299,573624,154271,19558,93095,164494,227918,115345,138472,121986,182696,21809,694053,24570,180792,15603
0,8756,15,719,281979.1875,3,5,11,52,0.28014645,96.01791382,13.69999981,1,0,-8.010986496,10.4625,57.2125,35249,577298,166398,27349,91660,179671,224736,99023,125674,102923,169996,38885,704511,10074,162116,10093
0,8781,33.5,742,3693143.5,4,5,16,56,0.373802066,76.88986969,13.69999981,0,0,-11.38323033,10.15416667,57.20416667,22176,572800,155314,18848,92094,165468,228722,115355,138776,121509,181682,21693,693541,24485,180481,16473
0,9377,11,721,1341478.5,3,5,45,55,0.293493927,141.6940765,13.89999962,-1,0,-5.06599527,9.645833333,57.19583333,16791,567412,139836,28852,101311,143662,237595,143185,162255,147433,203713,16736,676851,31763,210721,2642
0,8828,11,714,795548.6875,3,5,21,54,0.2187583,96.43037415,13.89999962,0,0,-3.448538949,9.9625,57.1875,12557,569070,150209,16607,93054,157927,233116,126395,148356,133117,188666,12044,685834,25944,192166,10092
0,8661,28.5,742,7842844,4,5,34,54,0.489148915,81.4694519,13.80000019,0,0,-11.62737469,10.15416667,57.17916667,20757,570064,157546,16270,89359,167241,231445,116738,140768,121626,179701,20297,691200,25786,181054,16236
0,8714,32,737,5738679,4,5,45,54,0.553405046,80.57989502,13.69999981,0,0,-12.78706035,10.1625,57.17916667,21204,570152,157844,16478,89270,167626,231345,116305,140421,121125,179347,20747,691471,25355,180564,16444
0,8731,10.5,715,3850632.5,3,5,73,54,0.239101961,71.66786194,13.89999962,0,0,-1.068131533,9.945833333,57.17083333,10457,567084,151224,15223,91601,158442,235159,128149,150355,134216,188159,9944,683729,27835,193526,11663
0,8791,23.5,729,5739965.5,4,5,56,55,0.641931534,70.61930084,13.80000019,0,0,-0.900282292,10.15416667,57.17083333,20346,569151,158294,15426,88448,167837,232353,117210,141438,121680,179045,19896,690420,26271,181255,15391
0,8906,44,732,61291.95703,3,4,24,56,1.923568249,101.2390518,13.69999981,1,0,-14.46555276,10.2625,57.17083333,26406,570347,162221,19139,87494,172872,231136,111649,137016,115162,174486,25985,693976,21046,174886,19094
0,8856,24,724,18207396,4,5,24,55,0.190643191,88.84204865,13.69999981,-2,0,-4.654001678,10.2875,57.1625,27564,569726,163879,19572,86420,174627,231792,110885,136717,113720,172777,27157,694031,20612,173630,19525
0,9021,19.5,698,4642651.5,3,4,39,55,0.413903326,123.3346024,13.69999981,0,0,-7.217517357,10.04583333,57.15416667,13691,566210,156071,12119,88087,164138,235543,123781,147320,128322,182462,13223,685348,29976,188034,12104
0,8923,16.5,704,1089618.125,3,4,39,55,0.36191076,119.2707672,13.80000019,-1,0,-4.852368963,10.05416667,57.15416667,14129,566293,156351,12129,87958,164511,235432,123346,146967,127821,182095,13665,685617,30054,187544,12112
0,8805,11,712,2944590.75,3,4,33,54,0.225388467,83.63835907,13.89999962,0,0,-6.179903868,9.8125,57.14583333,6305,563170,149483,17631,91914,154628,239939,136556,158158,142426,192418,6038,677169,32035,201972,9912
0,8643,12,730,6561.700684,4,5,24,54,0.14805226,131.1140594,13.80000019,0,0,-2.044708934,10.32083333,57.1375,28903,567391,167307,19526,83485,177940,234209,110779,137538,111951,169376,28534,692827,21514,172346,19476
0,8519,7,719,3134.984863,3,5,32,55,0.376362413,92.33851624,14,0,0,-0.869764248,9.8625,57.12916667,4127,561758,152586,14208,89021,158065,240918,134777,157191,139574,188914,3667,677151,33083,199437,13421
0,8471,7.5,721,91463.01563,3,5,32,55,0.202190563,128.7515106,14,0,0,-0.793469139,9.870833333,57.12916667,4253,561831,152838,13877,88829,158418,240787,134337,156824,139073,188529,3769,677413,32988,198947,13820
0,8834,27,717,2347945.75,4,5,16,55,0.668418407,91.96473694,13.80000019,-1,0,-11.27641718,10.0625,57.12916667,13498,563636,158942,9393,85142,166754,238035,124338,148608,127557,179836,13088,683538,32879,187693,9373
0,9305,91.5,712,2954038.25,3,3,8,60,0.522169054,51.48919296,14.10000038,-2,0,-7.293812467,22.62916667,57.12916667,41557,188054,702973,48094,87319,391501,721017,87612,186392,317890,417576,108711,798376,83664,262930,65377
0,8559,7.5,723,8996714,3,4,104,54,0.609370112,70.81482697,14,1,0,-2.227817197,10.02083333,57.10416667,10442,560478,159908,6732,83160,166823,241300,127938,152355,130353,179849,10097,679843,35327,190808,6728
0,8577,10.5,722,7369257,3,4,104,54,0.71486938,77.2131424,14,1,0,-3.326466773,10.02916667,57.10416667,10941,560561,160177,6637,83014,167187,241188,127512,152008,129853,179471,10599,680113,35372,190321,6629
0,9908,6.5,713,8894577,3,4,57,56,1.377949595,34.84950256,13.80000019,-1,0,-6.942854963,9.5125,57.09583333,20345,555481,145497,31403,96063,146871,250719,155209,175502,154859,203444,20644,663203,31643,220860,15961
